Date,Fractal,Markowitz
2012-05-21,1.0118192354925037,1.012825837135343
2012-05-22,1.0011567973058975,1.0029456123576324
2012-05-23,1.0112105624062337,1.013334719137197
2012-05-24,1.0007337527033768,1.0022576081800842
2012-05-25,0.995980547772761,0.9975711775991774
2012-05-29,1.0010323355464075,1.0032796917919153
2012-05-30,0.9845909958484864,0.9870108041737972
2012-05-31,0.9779038164815878,0.9805646103639538
2012-06-01,0.9469590753175374,0.9499615081735691
2012-06-04,0.9504791377942782,0.9535015146901386
2012-06-05,0.9524450334870159,0.9558429858653323
2012-06-06,0.9780916272479843,0.9815457075341013
2012-06-07,0.9684416199655854,0.9720377901686115
2012-06-08,0.9815668951349691,0.9846591089838855
2012-06-11,0.9632956775425054,0.9666451796602994
2012-06-12,0.9736045166726988,0.9768470833341141
2012-06-13,0.9670815508458387,0.9700331732213977
2012-06-14,0.9713454274032384,0.9741970442142271
2012-06-15,0.9950671756271312,0.9976360989746847
2012-06-18,1.0084577397268917,1.0104576225528936
2012-06-19,1.026534356868452,1.0282493907570398
2012-06-20,1.0286579871086312,1.03106884051965
2012-06-21,1.0012896232838229,1.0034923600559857
2012-06-22,1.0193413438677759,1.021010260236057
2012-06-25,0.9982797693093106,1.0007188479754499
2012-06-26,1.0015487115755553,1.0037439577297644
2012-06-27,1.0059268313988776,1.0082569522261777
2012-06-28,0.9953537595743971,0.9977481804817335
2012-06-29,1.0221825007242153,1.0253410018971323
2012-07-02,1.018008748831212,1.0214922822444363
2012-07-03,1.0317560564371437,1.0348553729680403
2012-07-05,1.0424229191715297,1.0447462376825987
2012-07-06,1.026642219474695,1.0288262412282498
2012-07-09,1.0233704731921949,1.0254485293431068
2012-07-10,1.0072282013163771,1.0093177159756115
2012-07-11,1.0010794765359312,1.0034828107194802
2012-07-12,0.9966584677312282,0.9987576953629504
2012-07-13,1.0135812094793493,1.0158059398979493
2012-07-16,1.0050532660033178,1.0076517084628185
2012-07-17,0.9993288148982484,1.0018358971933607
2012-07-18,1.0187623689590368,1.0214102397534128
2012-07-19,1.0326662736484873,1.036023353125799
2012-07-20,1.0190430370900354,1.0220566398286295
2012-07-23,1.0052155958751507,1.008515303892876
2012-07-24,0.9902256279144149,0.9929101949267567
2012-07-25,0.9660475796660317,0.9699053783106998
2012-07-26,0.9605430451007462,0.9651528192878207
2012-07-27,0.9799191555987927,0.9852599093383304
2012-07-30,0.9648049024596721,0.9709595188790365
2012-07-31,0.958571770675623,0.965281197005998
2012-08-01,0.9483023514501174,0.955356040921652
2012-08-02,0.939142891265626,0.9461510142880539
2012-08-03,0.9655545760068447,0.972732233787969
2012-08-06,0.9819169832464655,0.9890765305110609
2012-08-07,0.9917579140056416,0.9995274361367967
2012-08-08,0.9883311784044585,0.9958608426671166
2012-08-09,0.9971645526905881,1.0050274567803907
2012-08-10,1.0046477386401258,1.0122042923321601
2012-08-13,1.0103523405983688,1.0180051091936078
2012-08-14,1.0009117873640192,1.0086821548820206
2012-08-15,1.009597233163266,1.0171406071511562
2012-08-16,1.0247822337978616,1.0337243457842684
2012-08-17,1.0214826614611288,1.0309501353576127
2012-08-20,1.024878830013409,1.0341250755532836
2012-08-21,1.0190028390642636,1.0282662796778117
2012-08-22,1.023805743381438,1.0332922999082714
2012-08-23,1.0154403010169772,1.0251141754803588
2012-08-24,1.013831437671056,1.0244075589945625
2012-08-27,1.0074467528111268,1.0181233490417732
2012-08-28,1.0077441761441164,1.0179356989669683
2012-08-29,1.0068735235901896,1.0172206325722288
2012-08-30,0.9928950882480753,1.0032349240154015
2012-08-31,0.9948052172964599,1.005561562032515
2012-09-04,0.9812252499850103,0.9925403078271736
2012-09-05,0.9848669880837915,0.9959243370013637
2012-09-06,1.0091893209400176,1.0204347644944665
2012-09-07,1.0076845015001554,1.0195454487926567
2012-09-10,0.9910017582684714,1.0032159789779649
2012-09-11,0.9977680780460266,1.0097736422337658
2012-09-12,1.0067651199838725,1.018681744344875
2012-09-13,1.020878047479814,1.0332903761725385
2012-09-14,1.0378958490143275,1.0499454480593107
2012-09-17,1.0332382281577788,1.0454134269367743
2012-09-18,1.0287750732294938,1.0410446765858532
2012-09-19,1.0376872501194763,1.0495297811602893
2012-09-20,1.0389791019737469,1.0498996025600393
2012-09-21,1.033199386074697,1.0443852065566466
2012-09-24,1.020000729961818,1.031827516162752
2012-09-25,0.9966658399445604,1.0085833441533625
2012-09-26,0.992908377514026,1.0041612053604738
2012-09-27,1.0053820807933522,1.017208180006553
2012-09-28,1.0068383774189402,1.0192035138255056
2012-10-01,1.0084152369287378,1.020729562004873
2012-10-02,1.0123466152909093,1.0244324813080257
2012-10-03,1.0219340966133588,1.0341375330978992
2012-10-04,1.0327855217397897,1.04474400391231
2012-10-05,1.0209595388135353,1.0327026966342845
2012-10-08,1.0221915123168284,1.033540990144302
2012-10-09,0.9970390425058325,1.0090877209223934
2012-10-10,0.9875483091799654,0.999395756599642
2012-10-11,0.9893482895354675,1.0010396313013517
2012-10-12,0.9853597910433575,0.9975948799649065
2012-10-15,0.9910709082291015,1.0033565653502712
2012-10-16,1.0057135311536496,1.0182350675187457
2012-10-17,1.0056876738751634,1.0166271369833604
2012-10-18,0.985953313416252,0.9966893749410751
2012-10-19,0.9646852600275951,0.975032933466473
2012-10-22,0.9691123990845713,0.979860626071307
2012-10-23,0.9707045428829436,0.9806937424121601
2012-10-24,0.9662183166507633,0.9754360228293677
2012-10-25,0.9633520458562751,0.9723794873122696
2012-10-26,0.9778769679196508,0.9864176970481039
